ChEMBL ID,Molecule Name,SMILES,Molecular Weight,TPSA,Activity Type,Activity (nM),pActivity,Target ChEMBL ID,SEI,BEI,QED,HBD,HBA,Heavy Atoms,NPOL,NSEI,nBEI,Kingdom,Superclass,Class,Subclass
CHEMBL1520590,,O.O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,338.27,131.36,IC50,30000.0,4.522878745280337,CHEMBL612851,3.443117193422912,13.37061739226162,0.39413613085644655,5,7,24,12,0.37690656210669476,5.903089986991944,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL1520590,,O.O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,338.27,131.36,IC50,31020.0,4.508358206522414,CHEMBL5347,3.4320631901053695,13.327691508328892,0.39413613085644655,5,7,24,12,0.37569651721020114,5.888569448234019,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL1173475,QUERCETIN DIHYDRATE,O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,320.25,131.36,IC50,7943.28,5.100000128334196,CHEMBL364,3.8824605118256668,15.925058948740661,0.41983250950378587,5,7,23,12,0.4250000106945164,6.461727964351789,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL1173475,QUERCETIN DIHYDRATE,O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,320.25,131.36,IC50,7943.28,5.100000128334196,CHEMBL364,3.8824605118256668,15.925058948740661,0.41983250950378587,5,7,23,12,0.4250000106945164,6.461727964351789,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL1173475,QUERCETIN DIHYDRATE,O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,320.25,131.36,IC50,5011.87,5.300000202445418,CHEMBL364,4.034713917817766,16.54957128007937,0.41983250950378587,5,7,23,12,0.44166668353711813,6.661728038463011,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL1173475,QUERCETIN DIHYDRATE,O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,320.25,131.36,IC50,3981.07,5.40000018605658,CHEMBL364,4.110840580128334,16.8618272788652,0.41983250950378587,5,7,23,12,0.450000015504715,6.761728022074173,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL1173475,QUERCETIN DIHYDRATE,O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,320.25,131.36,IC50,3162.28,5.499999678657065,CHEMBL364,4.1869668686488,17.174081744440485,0.41983250950378587,5,7,23,12,0.4583333065547554,6.861727514674658,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL1173475,QUERCETIN DIHYDRATE,O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,320.25,131.36,IC50,2511.89,5.59999938302362,CHEMBL364,4.263093318379735,17.486336871268136,0.41983250950378587,5,7,23,12,0.46666661525196834,6.961727219041213,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL1173475,QUERCETIN DIHYDRATE,O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,320.25,131.36,IC50,2511.89,5.59999938302362,CHEMBL364,4.263093318379735,17.486336871268136,0.41983250950378587,5,7,23,12,0.46666661525196834,6.961727219041213,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL1173475,QUERCETIN DIHYDRATE,O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,320.25,131.36,IC50,98460.0,4.0067401685632635,CHEMBL612545,3.050198057676053,12.511288582555078,0.41983250950378587,5,7,23,12,0.3338950140469386,5.368468004580857,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL1173475,QUERCETIN DIHYDRATE,O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,320.25,131.36,IC50,385.08,6.414449036856871,CHEMBL1293263,4.883106757655961,20.02950518924862,0.41983250950378587,5,7,23,12,0.5345374197380726,7.776176872874464,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL1173475,QUERCETIN DIHYDRATE,O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,320.25,131.36,IC50,59642.0,4.224447801597308,CHEMBL3837,3.2159316394620188,13.191093837930705,0.41983250950378587,5,7,23,12,0.3520373167997757,5.586175637614901,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL1173475,QUERCETIN DIHYDRATE,O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,320.25,131.36,IC50,16140.0,4.7920964696139485,CHEMBL1075257,3.6480636948949057,14.963611146335516,0.41983250950378587,5,7,23,12,0.399341372467829,6.153824305631542,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL1173475,QUERCETIN DIHYDRATE,O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,320.25,131.36,IC50,5344.0,5.27213355053251,CHEMBL612545,4.013499962342045,16.462555973559752,0.41983250950378587,5,7,23,12,0.43934446254437587,6.6338613865501035,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL1173475,QUERCETIN DIHYDRATE,O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,320.25,131.36,IC50,498.41,6.302413252662589,CHEMBL612545,4.797817640577488,19.679666674980762,0.41983250950378587,5,7,23,12,0.5252011043885491,7.664141088680182,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL1173475,QUERCETIN DIHYDRATE,O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,320.25,131.36,IC50,22700.0,4.6439741428068775,CHEMBL612545,3.5353030928797784,14.50109021953748,0.41983250950378587,5,7,23,12,0.38699784523390646,6.0057019788244705,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL1173475,QUERCETIN DIHYDRATE,O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,320.25,131.36,IC50,35200.0,4.453457336521869,CHEMBL612545,3.3902689833449062,13.906189965720124,0.41983250950378587,5,7,23,12,0.3711214447101558,5.815185172539462,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL1173475,QUERCETIN DIHYDRATE,O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,320.25,131.36,EC50,29913.0,4.52414002902452,CHEMBL2049,3.444077366796985,14.126900949334956,0.41983250950378587,5,7,23,12,0.37701166908537664,5.885867865042113,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL1173475,QUERCETIN DIHYDRATE,O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,320.25,131.36,EC50,50000.0,4.301029995663981,CHEMBL1075257,3.2742311172837857,13.430226372096742,0.41983250950378587,5,7,23,12,0.35841916630533177,5.662757831681574,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL1173475,QUERCETIN DIHYDRATE,O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,320.25,131.36,Ki,19900.0,4.701146923590294,CHEMBL612545,3.578826829773366,14.679615686464619,0.41983250950378587,5,7,23,12,0.3917622436325245,6.062874759607887,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL1173475,QUERCETIN DIHYDRATE,O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,320.25,131.36,Ki,20700.0,4.684029654543083,CHEMBL612545,3.565796022033406,14.626165978276605,0.41983250950378587,5,7,23,12,0.3903358045452569,6.045757490560676,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL1173475,QUERCETIN DIHYDRATE,O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,320.25,131.36,Kd,20000.0,4.698970004336019,CHEMBL612545,3.5771696135322917,14.67281812439038,0.41983250950378587,5,7,23,12,0.39158083369466823,6.060697840353612,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,32870.0,4.483200295918375,CHEMBL3081,3.4129113093166676,14.83324608231331,0.43419044029909815,5,7,22,12,0.3736000246598646,5.825622976740581,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,10340.0,4.985479461242076,CHEMBL3081,3.795279736024723,16.49510144667177,0.43419044029909815,5,7,22,12,0.415456621770173,6.327902142064282,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,8320.0,5.079876673709276,CHEMBL2622,3.8671411949674757,16.80742679231497,0.43419044029909815,5,7,22,12,0.4233230561424397,6.422299354531482,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,7810.0,5.1073489661227,CHEMBL2622,3.888054937669534,16.898322413058164,0.43419044029909815,5,7,22,12,0.42561241384355836,6.449771646944907,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,2320.0,5.634512015109101,CHEMBL3871,4.289366637567829,18.642509314151336,0.43419044029909815,5,7,22,12,0.4695426679257584,6.976934695931307,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,35600.0,4.448550002027125,CHEMBL2275,3.3865331927733897,14.718601118406315,0.43419044029909815,5,7,22,12,0.3707125001689271,5.790972682849331,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,48800.0,4.311580177997289,CHEMBL4119,3.282262620278082,14.265418799620464,0.43419044029909815,5,7,22,12,0.35929834816644074,5.654002858819496,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,950.0,6.022276394711152,CHEMBL612545,4.584558765766711,19.92547774851493,0.43419044029909815,5,7,22,12,0.5018563662259293,7.364699075533359,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,39500.0,4.403402904373539,CHEMBL614822,3.352164208566945,14.569226126169731,0.43419044029909815,5,7,22,12,0.3669502420311283,5.745825585195746,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,32500.0,4.488116639021126,CHEMBL614520,3.416653957841904,14.849512437205947,0.43419044029909815,5,7,22,12,0.37400971991842713,5.830539319843332,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,24000.0,4.619788758288394,CHEMBL387,3.5168915638614444,15.285166616888544,0.43419044029909815,5,7,22,12,0.3849823965240328,5.9622114391106,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,40200.0,4.39577394691553,CHEMBL614647,3.3463565369332597,14.543984737015386,0.43419044029909815,5,7,22,12,0.3663144955762942,5.738196627737736,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,190000.0,3.721246399047171,CHEMBL203,2.8328611442198315,12.312223395471053,0.43419044029909815,5,7,22,12,0.31010386658726424,5.063669079869378,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,46000.0,4.337242168318426,CHEMBL614071,3.3017982401936856,14.350324802535818,0.43419044029909815,5,7,22,12,0.3614368473598688,5.679664849140632,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,28000.0,4.552841968657781,CHEMBL614071,3.465927199039114,15.0636645336745,0.43419044029909815,5,7,22,12,0.3794034973881484,5.895264649479987,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,100000.0,4.0,CHEMBL614071,3.045066991473812,13.234515616728427,0.43419044029909815,5,7,22,12,0.3333333333333333,5.342422680822207,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,300.0,6.522878745280337,CHEMBL312,4.965650689159818,21.58178515510964,0.43419044029909815,5,7,22,12,0.5435732287733614,7.865301426102544,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,39900.0,4.399027104313252,CHEMBL3081,3.3488330574857272,14.55474822761134,0.43419044029909815,5,7,22,12,0.3665855920261043,5.741449785135458,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,10300.0,4.987162775294828,CHEMBL3081,3.7965611870393023,16.50067090820152,0.43419044029909815,5,7,22,12,0.41559689794123567,6.329585456117034,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,177000.0,3.752026733638193,CHEMBL2275,2.856293189432242,12.414064100179305,0.43419044029909815,5,7,22,12,0.3126688944698494,5.094449414460399,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,218000.0,3.661543506395395,CHEMBL2755,2.7874113172924746,12.114688679180105,0.43419044029909815,5,7,22,12,0.30512862553294956,5.003966187217602,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,7810.0,5.1073489661227,CHEMBL2622,3.888054937669534,16.898322413058164,0.43419044029909815,5,7,22,12,0.42561241384355836,6.449771646944907,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,7700.0,5.113509274827518,CHEMBL2622,3.8927445758431163,16.91870458849761,0.43419044029909815,5,7,22,12,0.42612577290229314,6.455931955649724,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,1000.0,6.0,CHEMBL2622,4.5676004872107185,19.85177342509264,0.43419044029909815,5,7,22,12,0.5,7.342422680822207,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,10000.0,5.0,CHEMBL312,3.806333739342265,16.543144520910534,0.43419044029909815,5,7,22,12,0.4166666666666667,6.342422680822207,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,50000.0,4.301029995663981,CHEMBL2095157,3.2742311172837857,14.23051216140809,0.43419044029909815,5,7,22,12,0.35841916630533177,5.643452676486188,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,131.36,IC50,61000.0,4.214670164989233,CHEMBL1907601,3.20848824983955,13.944779529477344,0.43419044029909815,5,7,22,12,0.35122251374910274,5.5570928458114395,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
